N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO _PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO;;;;;;;;;
1;PE;11476;PNSU;63002;2056645;AMPLIACION, MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DEL MUYO, DISTRITO DE ARAMANGO - BAGUA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE ARAMANGO ;AMAZONAS;BAGUA;ARAMANGO;2028;1,644,132.00;Transferencia;Indirecta;OBRA;Paralizada;;;;;;;;;
2;PE;11477;PNSU;61273;2066026;MEJORAMIENTO AMPLIACION DEL SISTEMA DE AGUA POTABLE COPALLIN, DISTRITO DE COPALLIN - BAGUA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE COPALLIN;AMAZONAS;BAGUA;COPALLIN;6705;3,071,994.57;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
3;PE;11478;PNSU;99900;2106401;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCIÓN DEL SISTEMA DE SANEAMIENTO DE LA LOCALIDAD DE IMACITA - BAGUA;REGION AMAZONAS-SEDE CENTRAL;AMAZONAS;BAGUA;IMAZA;2604;9,562,421.17;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
4;PE;11479;PNSU;63047;2066683;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO DEL CENTRO POBLADO EL TOMAQUE, PROVINCIA DE BAGUA - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE BAGUA;AMAZONAS;BAGUA;LA PECA;2050;4,291,380.74;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
5;PE;11480;PNSU;2993;2090141;PROYECTO INTEGRADO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE BAGUA;GOBIERNO REGIONAL AMAZONAS;AMAZONAS;BAGUA;LA PECA;22556;219,831,721.64;Transferencia;Indirecta;OBRA (SALDO);Actos Previos;;;;;;;;;
6;PE;11481;PNSU;3901;2030714;PROYECTO INTEGRADO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD LA PECA;REGION AMAZONAS- GERENCIA SUB REGIONAL BAGUA ;AMAZONAS;BAGUA;LA PECA;3562;7,495,850.55;Transferencia;;OBRA (Expediente Saldo);Actos Previos;;;;;;;;;
7;PE;11482;PNSU;30257;2128841;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO-CHISQUILLA;MUNICIPALIDAD DISTRITAL DE CHISQUILLA;AMAZONAS;BONGARA;CHISQUILLA;488;142,894.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
8;PE;11483;PNSU;98645;2090509;AMPLIACION, MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE CUISPES, NUEVA ALIANZA, EL PORVENIR, FANRE Y LA COLMENA, DISTRITO DE CUISPES - BONGARA - AMAZONAS (Primera Etapa Concluida: localidades de FANRE y LA COLMENA, (Segunda Etapa: localidades CUISPES, NUEVA ALIANZA, EL PORVENIR;MUNICIPALIDAD DISTRITAL DE CUISPES;AMAZONAS;BONGARA;CUISPES;382;5,245,768.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
9;PE;11484;PNSU;186109;2148944;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE NUEVO GUALULO, DISTRITO DE FLORIDA - BONGARA - AMAZONAS;MUNICIPALIDAD DISTRITAL DE FLORIDA;AMAZONAS;BONGARA;FLORIDA;688;1,922,367.63;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
10;PE;11485;PNSU;127652;2104240;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO DE LA LOCALIDAD DE JUMBILLA, PROVINCIA DE BONGARA - AMAZONAS;GOBIERNO REGIONAL AMAZONAS;AMAZONAS;BONGARA;JUMBILLA;1626;7,785,041.50;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
