Fecha,R1,R2,R3,R4
16/01/1970 00:00,178.1,164.3,163.8,181.4
16/02/1970 00:00,107.3,83.2,102.9,74.5
16/03/1970 00:00,111.1,94.0,86.6,76.6
16/04/1970 00:00,97.8,73.1,62.1,51.0
16/05/1970 00:00,45.4,32.5,15.8,14.2
16/06/1970 00:00,16.6,3.8,7.1,4.7
16/07/1970 00:00,16.2,2.8,7.1,12.7
16/08/1970 00:00,4.7,5.3,5.5,2.6
16/09/1970 00:00,37.0,68.8,58.0,34.8
16/10/1970 00:00,65.7,48.1,55.5,45.6
16/11/1970 00:00,52.3,42.2,42.8,35.1
16/12/1970 00:00,139.7,119.3,118.6,93.0
16/01/1971 00:00,103.1,100.5,118.5,87.9
16/02/1971 00:00,141.6,157.4,142.5,102.4
16/03/1971 00:00,85.4,117.4,124.6,94.8
16/04/1971 00:00,45.5,34.3,37.5,42.8
16/05/1971 00:00,35.7,10.3,9.4,9.8
16/06/1971 00:00,8.7,4.9,10.1,12.9
16/07/1971 00:00,11.5,2.1,6.1,2.0
16/08/1971 00:00,34.9,15.2,29.5,10.0
16/09/1971 00:00,25.5,6.8,13.1,4.7
16/10/1971 00:00,128.2,29.0,53.7,36.6
16/11/1971 00:00,58.1,22.1,63.9,44.8
16/12/1971 00:00,113.4,87.6,101.1,102.0
16/01/1972 00:00,105.9,97.7,124.1,87.8
16/02/1972 00:00,93.4,87.5,97.0,52.3
16/03/1972 00:00,183.4,132.4,144.8,116.2
16/04/1972 00:00,80.8,95.3,92.2,45.9
16/05/1972 00:00,34.9,24.4,22.5,17.7
16/06/1972 00:00,6.5,2.2,1.2,3.0
16/07/1972 00:00,13.7,15.4,13.6,11.5
16/08/1972 00:00,24.0,2.5,7.6,6.0
16/09/1972 00:00,32.2,49.3,32.1,26.7
16/10/1972 00:00,45.7,43.3,48.4,31.0
16/11/1972 00:00,43.5,49.0,56.3,43.3
16/12/1972 00:00,78.3,97.8,97.3,53.3
16/01/1973 00:00,167.8,170.4,147.0,113.0
16/02/1973 00:00,139.8,167.3,147.6,161.3
16/03/1973 00:00,139.8,199.5,148.6,111.7
16/04/1973 00:00,62.7,108.3,52.2,42.0
16/05/1973 00:00,15.8,15.6,14.6,11.9
16/06/1973 00:00,26.2,9.9,11.5,11.1
16/07/1973 00:00,38.1,8.2,21.8,20.4
16/08/1973 00:00,36.3,22.1,22.9,23.5
16/09/1973 00:00,72.6,41.9,38.7,30.0
16/10/1973 00:00,103.3,66.9,87.3,62.4
16/11/1973 00:00,79.3,52.8,53.0,58.4
16/12/1973 00:00,157.6,134.8,83.6,99.9
16/01/1974 00:00,142.3,182.7,131.5,148.9
16/02/1974 00:00,129.8,200.8,157.9,144.7
16/03/1974 00:00,90.7,120.7,99.5,102.0
16/04/1974 00:00,37.9,38.5,48.9,43.5
16/05/1974 00:00,14.9,6.8,5.6,5.1
16/06/1974 00:00,20.7,13.6,21.1,11.4
16/07/1974 00:00,6.2,2.0,4.7,0.6
16/08/1974 00:00,30.7,40.6,29.0,24.5
16/09/1974 00:00,20.5,29.4,17.3,13.8
16/10/1974 00:00,45.2,26.9,49.2,33.3
16/11/1974 00:00,45.4,45.5,54.2,18.9
16/12/1974 00:00,82.9,43.3,57.7,45.9
16/01/1975 00:00,113.2,113.4,114.2,131.0
16/02/1975 00:00,146.0,120.8,129.6,82.1
16/03/1975 00:00,165.8,172.9,126.9,100.2
16/04/1975 00:00,40.0,40.8,38.7,33.9
16/05/1975 00:00,54.3,44.9,48.2,30.3
16/06/1975 00:00,12.5,14.1,4.5,3.3
16/07/1975 00:00,10.8,2.5,4.1,1.6
16/08/1975 00:00,22.5,14.7,20.9,5.7
16/09/1975 00:00,77.4,31.7,60.3,34.2
16/10/1975 00:00,65.9,37.1,74.5,34.3
16/11/1975 00:00,74.3,57.9,74.6,40.7
16/12/1975 00:00,103.2,93.7,113.9,117.1
16/01/1976 00:00,137.3,151.7,135.8,124.2
16/02/1976 00:00,137.1,166.3,141.8,112.7
16/03/1976 00:00,134.4,131.0,115.2,94.9
16/04/1976 00:00,41.8,34.0,33.7,26.8
16/05/1976 00:00,29.8,19.7,32.6,19.3
16/06/1976 00:00,15.2,21.2,21.9,23.5
16/07/1976 00:00,7.0,8.2,6.4,6.6
16/08/1976 00:00,21.1,24.2,16.3,10.7
16/09/1976 00:00,43.1,68.0,39.9,55.4
16/10/1976 00:00,38.8,5.3,20.6,16.5
16/11/1976 00:00,60.2,27.8,27.4,21.2
16/12/1976 00:00,88.9,79.0,63.3,62.9
16/01/1977 00:00,131.6,72.5,75.3,58.8
16/02/1977 00:00,119.3,159.0,128.6,131.1
16/03/1977 00:00,92.6,117.5,97.8,62.7
16/04/1977 00:00,42.6,50.2,58.3,16.9
16/05/1977 00:00,45.4,29.7,35.8,11.8
16/06/1977 00:00,6.6,2.6,2.6,0.4
16/07/1977 00:00,6.8,14.1,5.5,5.5
16/08/1977 00:00,14.0,3.4,5.2,6.2
16/09/1977 00:00,62.5,33.3,35.7,34.6
16/10/1977 00:00,54.6,47.4,43.4,29.3
16/11/1977 00:00,150.8,111.9,126.5,96.9
16/12/1977 00:00,111.3,72.6,100.3,98.9
16/01/1978 00:00,168.6,153.2,169.7,180.7
16/02/1978 00:00,124.1,109.0,117.5,91.0
16/03/1978 00:00,83.2,91.6,88.5,77.7
16/04/1978 00:00,66.3,43.3,50.5,33.5
16/05/1978 00:00,34.5,5.5,12.1,16.0
16/06/1978 00:00,1.9,4.7,7.3,10.5
16/07/1978 00:00,9.2,7.2,7.6,0.9
16/08/1978 00:00,14.2,1.9,6.7,1.9
16/09/1978 00:00,78.3,46.3,58.3,46.0
16/10/1978 00:00,41.5,53.2,49.2,41.1
16/11/1978 00:00,131.5,99.1,99.3,44.7
16/12/1978 00:00,83.6,79.8,93.3,66.9
16/01/1979 00:00,112.4,72.1,88.1,80.9
16/02/1979 00:00,154.4,129.9,103.0,73.6
16/03/1979 00:00,178.3,130.3,126.9,116.0
16/04/1979 00:00,76.7,51.8,55.1,47.5
16/05/1979 00:00,19.9,18.3,17.4,16.5
16/06/1979 00:00,0.0,1.4,5.0,0.3
16/07/1979 00:00,10.9,5.5,6.7,16.5
16/08/1979 00:00,23.3,9.1,16.2,17.4
16/09/1979 00:00,44.8,15.0,16.0,17.6
16/10/1979 00:00,53.3,26.0,29.4,28.4
16/11/1979 00:00,92.4,41.4,80.9,59.2
16/12/1979 00:00,91.4,57.9,86.2,71.2
16/01/1980 00:00,103.4,92.6,87.3,50.0
16/02/1980 00:00,94.4,78.5,103.3,74.5
16/03/1980 00:00,103.5,114.4,116.9,102.3
16/04/1980 00:00,31.1,36.5,23.4,10.5
16/05/1980 00:00,26.1,16.7,8.2,17.4
16/06/1980 00:00,7.3,8.1,1.0,1.8
16/07/1980 00:00,16.3,12.2,9.3,14.0
16/08/1980 00:00,19.5,5.5,17.7,13.0
16/09/1980 00:00,18.4,27.7,27.2,30.3
16/10/1980 00:00,106.0,140.5,90.9,78.1
16/11/1980 00:00,92.5,72.0,60.1,44.0
16/12/1980 00:00,74.9,57.9,64.4,40.2
16/01/1981 00:00,188.2,145.6,126.4,81.1
16/02/1981 00:00,230.7,194.7,175.8,159.4
16/03/1981 00:00,198.9,109.0,92.4,68.8
16/04/1981 00:00,50.8,42.0,37.2,26.7
16/05/1981 00:00,18.8,3.0,16.3,5.7
16/06/1981 00:00,6.5,0.0,0.5,1.1
16/07/1981 00:00,0.6,0.0,0.0,0.0
16/08/1981 00:00,59.6,39.6,36.0,19.4
16/09/1981 00:00,63.8,34.6,44.9,48.5
16/10/1981 00:00,129.4,63.2,91.3,83.8
16/11/1981 00:00,121.9,70.5,100.4,71.9
16/12/1981 00:00,133.1,105.9,115.7,87.2
16/01/1982 00:00,136.2,126.3,131.3,101.8
16/02/1982 00:00,143.5,165.3,139.4,130.0
16/03/1982 00:00,98.8,97.4,74.1,92.6
16/04/1982 00:00,51.3,60.0,45.9,34.9
16/05/1982 00:00,21.7,5.8,2.5,49.9
16/06/1982 00:00,17.5,1.8,10.5,9.1
16/07/1982 00:00,15.5,4.3,5.7,1.4
16/08/1982 00:00,32.4,30.2,21.8,28.6
16/09/1982 00:00,53.4,45.3,42.3,49.7
16/10/1982 00:00,113.0,74.5,92.8,56.4
16/11/1982 00:00,132.4,87.3,111.2,91.8
16/12/1982 00:00,100.6,80.6,80.1,43.0
16/01/1983 00:00,178.2,101.1,97.9,84.7
16/02/1983 00:00,63.4,58.5,72.0,54.9
16/03/1983 00:00,181.6,124.6,107.0,76.5
16/04/1983 00:00,73.7,68.7,42.2,41.9
16/05/1983 00:00,19.3,21.8,18.9,8.5
16/06/1983 00:00,27.1,8.3,15.9,20.7
16/07/1983 00:00,12.8,1.9,1.9,11.9
16/08/1983 00:00,23.9,6.9,4.6,13.0
16/09/1983 00:00,54.6,62.7,48.3,32.0
16/10/1983 00:00,53.2,44.0,41.2,32.9
