R1,R2,R3,R4
-1.7013755988373123,-2.0545845671062697,-1.8151212955763323,-1.5265559250974805
-1.3432269472685467,-1.8207664361471287,-1.6218252648524278,-1.6568536392642494
-1.5524807732883021,-1.7221065104480573,-1.721717230349618,-1.5083061824571073
-0.9596807966231438,-1.3571738833860187,-1.1096470491673491,-0.8996995196646823
-1.603705538135447,-1.6489394272168238,-1.463163630293808,-1.6400408576400096
-1.5194905937976744,-1.4119416970429568,-1.5124457965597526,-1.9641987978414062
-1.5714368689289122,-1.0627793595668806,-1.1720203657628667,-0.9542631034928892
-1.9703462286879543,-1.7221065104480588,-2.085966182927567,-1.877606583739378
-2.035760909416452,-1.9640021247603034,-1.7484241254265103,-1.814331145853373
-1.8722998453408422,-1.8709816449173138,-1.5558799331322013,-1.127628356842136
-1.5756898364771055,-1.5509477867548616,-1.8599116999009242,-1.2462188337858557
-2.016649392695908,-2.7977177693960456,-1.927490421212672,-2.239330970714657
-1.350329991232707,-2.0545845671062697,-1.852289834251054,-0.9913417727854599
-1.272544967388201,-1.8282903063418448,-1.721717230349618,-0.9478388216801679
-1.2962593309744173,-1.4237568901608866,-1.4088788547077171,-1.354750297687318
-1.6966478808248824,-1.3159047875984915,-1.5071451805007088,-1.5953439837599472
-1.67792684058356,-1.2844993608150688,-1.627774122520056,-1.545163465121089
-1.5134022632449833,-1.3201682396198633,-1.3572433437877183,-1.533955076044594
-3.1824557084894614,-2.2317952437187794,-2.831802992643959,-3.1075632486456466
-1.3238896925355057,-1.7287774054135938,-1.2884288845801484,-1.4487276190045817
-0.8544725465910611,-1.315904787598491,-1.7021738154948496,-1.5339550760445952
-2.0134980163982434,-1.564696963959259,-1.6100351049363995,-2.0613183663566645
-1.7621694569719843,-1.1157494017101461,-1.5204488604032869,-1.226893382760204
-1.9058953660291236,-1.2783350876504491,-2.227269077472192,-2.293875424879162
-2.303042071333285,-1.9203376690312552,-1.7829238921396016,-1.4939532740889294
-2.0552320311842234,-2.206277644677697,-2.2891787647669273,-2.322806352114601
-2.3729864506835883,-1.6219207162249358,-1.8224335676988466,-1.704780164055401
-1.6849120368609902,-1.6489394272168216,-2.066263705293232,-2.0476511623225115
-2.303042071333285,-1.6519940499543004,-1.7151576682178407,-1.7274502926104254
-1.517457812564777,-1.7089212645353205,-1.2338417830005106,-1.4120290845912438
-1.216635065226923,-0.9397519499219316,-1.2841337837905282,-0.9521178152262323
-1.4893438754428636,-1.4381324658020427,-1.0716033531943128,-0.8813726199550551
-1.434944777772647,-1.1459449375688069,-1.8042621197472537,-1.4318768655848026
-1.730155141338774,-1.5057051754232127,-1.2095128189372968,-2.248137871688799
-1.1832143480817179,-1.2128953379275376,-2.066263705293231,-1.8667223692649106
-2.0103561356788666,-2.3000797977813794,-1.745043716506407,-1.866722369264911
-1.5235662361284943,-1.773488567500182,-2.148099685734809,
-1.9855550317155723,-2.1236365247801343,,
