R1,R2,R3,R4
12.0,11.0,11.0,12.0
12.0,13.0,13.0,12.0
12.0,12.0,12.0,12.0
11.0,11.0,12.0,12.0
13.0,13.0,12.0,12.0
11.0,12.0,12.0,13.0
13.0,12.0,12.0,10.0
12.0,11.0,12.0,13.0
12.0,13.0,12.0,12.0
11.0,11.0,11.0,11.0
12.0,12.0,12.0,12.0
13.0,13.0,12.0,14.0
12.0,12.0,13.0,11.0
12.0,12.0,12.0,12.0
12.0,13.0,12.0,12.0
12.0,11.0,12.0,12.0
11.0,12.0,11.0,12.0
13.0,12.0,13.0,12.0
12.0,12.0,12.0,12.0
14.0,12.0,24.0,23.0
10.0,12.0,11.0,11.0
11.0,11.0,13.0,14.0
13.0,13.0,12.0,12.0
12.0,12.0,11.0,11.0
11.0,12.0,12.0,12.0
13.0,12.0,12.0,13.0
11.0,12.0,12.0,11.0
13.0,12.0,13.0,12.0
12.0,12.0,11.0,13.0
12.0,12.0,13.0,13.0
12.0,12.0,12.0,11.0
12.0,12.0,12.0,12.0
12.0,12.0,12.0,23.0
12.0,12.0,11.0,13.0
11.0,11.0,12.0,12.0
13.0,13.0,13.0,
12.0,12.0,,
